case,workers,binary,processes,cold_median_ms,cold_min_ms,cold_max_ms,warm_median_ms,warm_min_ms,warm_max_ms,peak_rss_kib
sum-bool,1,baseline,3,2.85115,2.84029,2.85819,2.70623,2.69803,2.71166,71188
sum-bool,1,current,3,1.86115,1.83958,1.92035,1.6701,1.66011,1.67891,71228
sum-bool,2,baseline,3,2.02529,1.98643,2.19218,1.81046,1.72391,1.85568,95924
sum-bool,2,current,3,1.22503,1.22261,1.24141,1.11588,1.11582,1.12262,81812
sum-bool,4,baseline,3,1.45689,1.41542,2.11658,1.44454,1.44421,1.83434,126948
sum-bool,4,current,3,1.56088,0.82576,1.63984,0.753534,0.734525,1.45734,102124
sum-bool,8,baseline,3,3.1498,2.78327,3.40196,3.0453,2.76534,3.10493,200392
sum-bool,8,current,3,1.31776,1.10695,1.78182,1.39947,0.654634,1.53973,142920
sum-bool,16,baseline,3,5.14442,4.9388,5.23555,5.74788,5.20144,5.77796,360336
sum-bool,16,current,3,0.996806,0.909349,1.03402,0.936126,0.918078,0.991297,225260
sum-bool,default,baseline,3,3.91682,3.83916,3.92407,5.23176,5.20232,5.28817,753984
sum-bool,default,current,3,0.831388,0.751294,0.839015,0.672871,0.643422,0.727257,348196
extrema-bool,1,baseline,3,3.13015,3.1141,3.19557,2.97816,2.9712,3.02039,71036
extrema-bool,1,current,3,2.88251,2.84382,3.2982,2.62198,2.62084,2.63876,71284
extrema-bool,2,baseline,3,2.4467,2.35578,2.68893,2.28751,2.23056,2.35797,104100
extrema-bool,2,current,3,1.8987,1.8371,2.52555,1.73467,1.73093,1.74829,81824
extrema-bool,4,baseline,3,2.00109,1.95792,3.65964,2.05007,2.04509,2.96493,169416
extrema-bool,4,current,3,1.28104,1.27627,2.06788,1.1646,1.15341,1.17544,102112
extrema-bool,8,baseline,3,3.35131,3.2465,3.64507,3.27256,3.20235,3.60044,300896
extrema-bool,8,current,3,1.81964,1.60531,2.28211,1.72616,1.55584,1.85889,143196
extrema-bool,16,baseline,3,3.79115,3.67069,3.85732,4.63651,4.36614,4.95944,519964
extrema-bool,16,current,3,1.15571,1.13552,1.17772,1.11937,1.09655,1.83127,225240
extrema-bool,default,baseline,3,3.93852,3.80797,4.13591,5.60263,5.25158,6.73474,809292
extrema-bool,default,current,3,0.988766,0.945417,1.09948,0.814595,0.80697,0.816067,348356
sum-u8,1,baseline,3,2.88014,2.87442,2.89749,2.69868,2.69243,2.70509,71292
sum-u8,1,current,3,1.82349,1.8083,1.83119,1.67085,1.65574,1.67102,71536
sum-u8,2,baseline,3,2.01882,1.96725,2.03569,1.76568,1.7313,1.82254,95920
sum-u8,2,current,3,1.23519,1.23258,1.45635,1.11762,1.11675,1.1986,81744
sum-u8,4,baseline,3,2.06253,2.06063,2.10796,1.91371,1.55983,2.14737,126748
sum-u8,4,current,3,1.61996,1.5066,1.62609,1.43282,0.736886,1.45201,102116
sum-u8,8,baseline,3,2.64215,2.47299,3.27418,2.7597,2.20252,3.1271,200724
sum-u8,8,current,3,1.62583,1.50413,1.822,1.37373,1.32182,1.68416,143360
sum-u8,16,baseline,3,5.11795,5.09348,5.1956,5.52286,5.15294,5.76142,348280
sum-u8,16,current,3,0.927987,0.874794,1.04345,0.884019,0.83367,0.970967,225228
sum-u8,default,baseline,3,4.04075,3.94519,4.2537,4.8532,4.85066,5.29948,756084
sum-u8,default,current,3,0.797461,0.75569,0.825563,0.679529,0.665353,1.36317,348396
extrema-u8,1,baseline,3,3.34432,3.29172,3.4381,3.0048,2.97454,3.01021,71540
extrema-u8,1,current,3,3.04867,2.93953,3.08847,2.73847,2.73332,2.80163,71296
extrema-u8,2,baseline,3,2.57568,2.48205,2.76971,2.44941,2.2824,2.63531,104300
extrema-u8,2,current,3,2.00317,1.99968,2.15706,1.84769,1.84599,1.87726,81724
