case,workers,binary,phase,processes,cold_median_ms,cold_min_ms,cold_max_ms,warm_median_ms,warm_min_ms,warm_max_ms
symbol-key,1,baseline,group: v2 dense,3,0.012,0.011,0.014,0.003,0.003,0.005
symbol-key,1,baseline,dense: initialized slabs,3,0.002,0.002,0.002,0.001,0.001,0.001
symbol-key,1,baseline,dense: accumulated rows,3,1.157,1.153,1.186,1.046,0.979,1.166
symbol-key,1,baseline,dense: merged slabs,3,0.002,0.002,0.002,0.001,0.001,0.001
symbol-key,1,baseline,dense: freed slabs and counted groups,3,0.001,0.0,0.001,0.0,0.0,0.0
symbol-key,1,current,group: v2 dense,3,0.014,0.014,0.014,0.003,0.002,0.003
symbol-key,1,current,dense: allocated slabs,3,0.001,0.001,0.001,0.0,0.0,0.0
symbol-key,1,current,dense: accumulated rows,3,1.253,1.221,1.31,1.082,1.053,1.162
symbol-key,1,current,dense: merged slabs,3,0.002,0.001,0.002,0.001,0.001,0.001
symbol-key,1,current,dense: freed slabs and counted groups,3,0.001,0.001,0.001,0.0,0.0,0.0
symbol-key,2,baseline,group: v2 dense,3,0.015,0.014,0.018,0.005,0.005,0.005
symbol-key,2,baseline,dense: initialized slabs,3,0.003,0.003,0.003,0.002,0.002,0.002
symbol-key,2,baseline,dense: accumulated rows,3,0.624,0.622,0.637,0.495,0.479,0.508
symbol-key,2,baseline,dense: merged slabs,3,0.003,0.002,0.003,0.002,0.002,0.002
symbol-key,2,baseline,dense: freed slabs and counted groups,3,0.0,0.0,0.001,0.0,0.0,0.0
symbol-key,2,current,group: v2 dense,3,0.016,0.015,0.016,0.004,0.004,0.004
symbol-key,2,current,dense: allocated slabs,3,0.003,0.002,0.003,0.001,0.001,0.001
symbol-key,2,current,dense: accumulated rows,3,0.65,0.63,0.651,0.535,0.533,0.535
symbol-key,2,current,dense: merged slabs,3,0.002,0.002,0.003,0.001,0.001,0.002
symbol-key,2,current,dense: freed slabs and counted groups,3,0.001,0.001,0.001,0.0,0.0,0.0
quantile,1,baseline,group: v2 indexed,3,0.01,0.01,0.01,0.002,0.002,0.002
quantile,1,current,group: v2 indexed,3,0.01,0.009,0.015,0.002,0.001,0.002
quantile,1,current,indexed: grouped keys,3,2.281,2.263,2.313,1.478,1.451,1.479
quantile,1,current,indexed: stable row slices,3,3.502,3.374,3.756,3.037,3.032,3.337
quantile,1,current,indexed: emitted keys,3,0.045,0.04,0.047,0.04,0.039,0.042
quantile,1,current,rank: selected dominant groups,3,0.014,0.011,0.017,0.012,0.011,0.013
quantile,1,current,rank: reduced remaining groups,3,5.07,5.061,5.206,4.601,4.556,4.814
quantile,1,current,indexed: emitted aggregate,3,0.001,0.001,0.001,0.0,0.0,0.001
quantile,2,baseline,group: v2 indexed,3,0.008,0.008,0.009,0.002,0.001,0.002
quantile,2,current,group: v2 indexed,3,0.012,0.008,0.013,0.002,0.001,0.002
quantile,2,current,indexed: grouped keys,3,2.243,2.155,2.486,1.358,1.345,1.65
quantile,2,current,indexed: stable row slices,3,3.436,3.409,5.172,3.175,3.107,3.214
quantile,2,current,indexed: emitted keys,3,0.029,0.026,0.042,0.024,0.023,0.039
quantile,2,current,rank: selected dominant groups,3,0.065,0.054,0.066,0.057,0.056,0.059
quantile,2,current,rank: reduced remaining groups,3,2.789,2.719,3.863,2.448,2.34,3.584
quantile,2,current,indexed: emitted aggregate,3,0.0,0.0,0.001,0.0,0.0,0.0
clustered,4,baseline,group: v2 dense,2,0.20550000000000002,0.194,0.217,0.184,0.182,0.186
clustered,4,baseline,dense: initialized slabs,2,0.265,0.175,0.355,0.4615,0.311,0.612
clustered,4,baseline,dense: accumulated rows,2,0.515,0.336,0.694,0.48650000000000004,0.31,0.663
clustered,4,baseline,dense: merged slabs,2,0.38,0.349,0.411,0.3775,0.343,0.412
clustered,4,baseline,dense: freed slabs and counted groups,2,0.0225,0.022,0.023,0.022,0.022,0.022
clustered,4,current,group: v2 dense,2,0.1455,0.072,0.219,0.0525,0.052,0.053
clustered,4,current,dense: allocated slabs,2,0.647,0.636,0.658,0.001,0.001,0.001
clustered,4,current,dense: accumulated rows,2,0.8505,0.609,1.092,0.381,0.381,0.381
clustered,4,current,dense: merged slabs,2,0.1605,0.159,0.162,0.156,0.156,0.156
clustered,4,current,dense: freed slabs and counted groups,2,0.02,0.02,0.02,0.02,0.02,0.02
clustered,8,baseline,group: v2 dense,2,0.22,0.212,0.228,0.2005,0.185,0.216
clustered,8,baseline,dense: initialized slabs,2,0.376,0.36,0.392,0.766,0.745,0.787
clustered,8,baseline,dense: accumulated rows,2,0.46499999999999997,0.412,0.518,0.386,0.331,0.441
clustered,8,baseline,dense: merged slabs,2,0.4715,0.357,0.586,0.40700000000000003,0.305,0.509
clustered,8,baseline,dense: freed slabs and counted groups,2,0.0275,0.026,0.029,0.0245,0.023,0.026
clustered,8,current,group: v2 dense,2,0.112,0.112,0.112,0.10200000000000001,0.101,0.103
clustered,8,current,dense partition: histogram,2,0.874,0.847,0.901,0.196,0.195,0.197
