case,workers,binary,sha256,round,rows,groups,cold_ms,peak_rss_kib,result_sha256,warm_median_ms,warm_1_ms,warm_2_ms,warm_3_ms,warm_4_ms,warm_5_ms
sum-bool,1,baseline,f9ed90d41e7bff92707a796e4677772351a23e53a6e148cf831a3feb92ae880e,1,1000000,65536,2.84029,71188,3a422bd9b13a7dd1317a73bf9bc8f1ebb834620bbc623153bb60a62d1f0ddbed,2.69803,2.69338,2.69803,2.69106,2.7116,2.70644
sum-bool,1,current,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,1,1000000,65536,1.83958,71028,3a422bd9b13a7dd1317a73bf9bc8f1ebb834620bbc623153bb60a62d1f0ddbed,1.66011,1.67381,1.66224,1.6541,1.65769,1.66011
sum-bool,2,baseline,f9ed90d41e7bff92707a796e4677772351a23e53a6e148cf831a3feb92ae880e,1,1000000,65536,1.98643,95924,3a422bd9b13a7dd1317a73bf9bc8f1ebb834620bbc623153bb60a62d1f0ddbed,1.72391,1.72391,1.95374,1.69098,1.82202,1.68245
sum-bool,2,current,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,1,1000000,65536,1.22503,81584,3a422bd9b13a7dd1317a73bf9bc8f1ebb834620bbc623153bb60a62d1f0ddbed,1.11582,1.11817,1.11582,1.11727,1.11338,1.11132
sum-bool,4,baseline,f9ed90d41e7bff92707a796e4677772351a23e53a6e148cf831a3feb92ae880e,1,1000000,65536,1.45689,126948,3a422bd9b13a7dd1317a73bf9bc8f1ebb834620bbc623153bb60a62d1f0ddbed,1.44421,1.55263,1.34111,1.7022,1.32502,1.44421
sum-bool,4,current,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,1,1000000,65536,1.56088,102120,3a422bd9b13a7dd1317a73bf9bc8f1ebb834620bbc623153bb60a62d1f0ddbed,0.734525,1.38769,0.735753,0.731474,0.73046,0.734525
sum-bool,8,baseline,f9ed90d41e7bff92707a796e4677772351a23e53a6e148cf831a3feb92ae880e,1,1000000,65536,2.78327,199900,3a422bd9b13a7dd1317a73bf9bc8f1ebb834620bbc623153bb60a62d1f0ddbed,2.76534,2.76534,1.8398,3.20719,2.46263,2.90919
sum-bool,8,current,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,1,1000000,65536,1.78182,142920,3a422bd9b13a7dd1317a73bf9bc8f1ebb834620bbc623153bb60a62d1f0ddbed,1.53973,1.67467,1.68282,1.53973,1.11691,1.19448
sum-bool,16,baseline,f9ed90d41e7bff92707a796e4677772351a23e53a6e148cf831a3feb92ae880e,1,1000000,65536,5.14442,348288,3a422bd9b13a7dd1317a73bf9bc8f1ebb834620bbc623153bb60a62d1f0ddbed,5.20144,4.7971,4.66656,6.50888,5.20144,6.0742
sum-bool,16,current,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,1,1000000,65536,0.996806,225176,3a422bd9b13a7dd1317a73bf9bc8f1ebb834620bbc623153bb60a62d1f0ddbed,0.918078,0.791002,0.918078,0.929396,0.940238,0.80067
sum-bool,default,baseline,f9ed90d41e7bff92707a796e4677772351a23e53a6e148cf831a3feb92ae880e,1,1000000,65536,3.91682,749624,3a422bd9b13a7dd1317a73bf9bc8f1ebb834620bbc623153bb60a62d1f0ddbed,5.28817,5.28817,5.10961,6.28428,5.2399,6.18588
sum-bool,default,current,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,1,1000000,65536,0.839015,348196,3a422bd9b13a7dd1317a73bf9bc8f1ebb834620bbc623153bb60a62d1f0ddbed,0.643422,0.699736,0.643422,0.625711,0.714956,0.615977
extrema-bool,1,baseline,f9ed90d41e7bff92707a796e4677772351a23e53a6e148cf831a3feb92ae880e,1,1000000,65536,3.19557,71028,11a2b43ddb236cf91744ab8f1ced269bcd7426c87a195977b338f9c480bfea34,3.02039,3.03857,2.98298,2.95707,3.02747,3.02039
extrema-bool,1,current,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,1,1000000,65536,2.84382,71208,11a2b43ddb236cf91744ab8f1ced269bcd7426c87a195977b338f9c480bfea34,2.62084,2.65252,2.62084,2.61993,2.61404,2.63297
extrema-bool,2,baseline,f9ed90d41e7bff92707a796e4677772351a23e53a6e148cf831a3feb92ae880e,1,1000000,65536,2.4467,104088,11a2b43ddb236cf91744ab8f1ced269bcd7426c87a195977b338f9c480bfea34,2.23056,2.55055,2.32675,1.97633,2.23056,1.99682
extrema-bool,2,current,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,1,1000000,65536,1.8371,81524,11a2b43ddb236cf91744ab8f1ced269bcd7426c87a195977b338f9c480bfea34,1.73467,1.73584,1.73467,1.73169,1.76625,1.72338
extrema-bool,4,baseline,f9ed90d41e7bff92707a796e4677772351a23e53a6e148cf831a3feb92ae880e,1,1000000,65536,1.95792,169416,11a2b43ddb236cf91744ab8f1ced269bcd7426c87a195977b338f9c480bfea34,2.04509,2.04509,2.43805,1.69009,2.07742,1.80743
extrema-bool,4,current,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,1,1000000,65536,2.06788,101976,11a2b43ddb236cf91744ab8f1ced269bcd7426c87a195977b338f9c480bfea34,1.1646,1.27576,1.23234,1.1646,1.16086,1.14701
extrema-bool,8,baseline,f9ed90d41e7bff92707a796e4677772351a23e53a6e148cf831a3feb92ae880e,1,1000000,65536,3.35131,300728,11a2b43ddb236cf91744ab8f1ced269bcd7426c87a195977b338f9c480bfea34,3.60044,3.60044,3.18023,4.41703,3.61146,3.04843
extrema-bool,8,current,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,1,1000000,65536,2.28211,143196,11a2b43ddb236cf91744ab8f1ced269bcd7426c87a195977b338f9c480bfea34,1.72616,2.26358,1.99024,1.62486,1.63282,1.72616
extrema-bool,16,baseline,f9ed90d41e7bff92707a796e4677772351a23e53a6e148cf831a3feb92ae880e,1,1000000,65536,3.79115,507888,11a2b43ddb236cf91744ab8f1ced269bcd7426c87a195977b338f9c480bfea34,4.63651,4.2763,4.91498,4.63651,3.84428,5.52086
extrema-bool,16,current,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,1,1000000,65536,1.13552,225128,11a2b43ddb236cf91744ab8f1ced269bcd7426c87a195977b338f9c480bfea34,1.83127,1.51155,1.47836,1.83127,1.9465,1.8874
extrema-bool,default,baseline,f9ed90d41e7bff92707a796e4677772351a23e53a6e148cf831a3feb92ae880e,1,1000000,65536,4.13591,809292,11a2b43ddb236cf91744ab8f1ced269bcd7426c87a195977b338f9c480bfea34,5.60263,5.39616,6.54593,4.74846,5.60263,8.72862
extrema-bool,default,current,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,1,1000000,65536,0.988766,348356,11a2b43ddb236cf91744ab8f1ced269bcd7426c87a195977b338f9c480bfea34,0.814595,0.879929,0.836259,0.805611,0.805832,0.814595
sum-u8,1,baseline,f9ed90d41e7bff92707a796e4677772351a23e53a6e148cf831a3feb92ae880e,1,1000000,65536,2.87442,70932,6ee3c77ffbcfa78658c6e2d83db34cfa1d1e7dee8b7b22b8a489f69ac294492f,2.69868,2.69868,2.69519,2.68813,2.71272,2.7044
