case,workers,binary,sha256,round,rows,groups,cold_ms,peak_rss_kib,result_sha256,warm_median_ms,warm_1_ms,warm_2_ms,warm_3_ms,warm_4_ms,warm_5_ms
extrema-f32,4,baseline,f9ed90d41e7bff92707a796e4677772351a23e53a6e148cf831a3feb92ae880e,1,1000000,65536,4.08687,169500,4898738f30509da2f14fee436fc21c3382e34c12d831b3de2f193a08af899061,2.71389,3.17581,3.11941,2.38528,2.71389,2.49646
extrema-f32,4,current,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,1,1000000,65536,3.85936,124636,4898738f30509da2f14fee436fc21c3382e34c12d831b3de2f193a08af899061,2.25576,2.4247,2.25576,2.2805,1.68174,1.25328
extrema-f32,4,current,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,2,1000000,65536,2.57255,124724,4898738f30509da2f14fee436fc21c3382e34c12d831b3de2f193a08af899061,1.5967,1.39352,1.5967,2.45895,2.06551,1.39533
extrema-f32,4,baseline,f9ed90d41e7bff92707a796e4677772351a23e53a6e148cf831a3feb92ae880e,2,1000000,65536,2.72329,169632,4898738f30509da2f14fee436fc21c3382e34c12d831b3de2f193a08af899061,2.67709,2.79101,3.1111,2.43715,2.67709,2.46394
extrema-f32,4,baseline,f9ed90d41e7bff92707a796e4677772351a23e53a6e148cf831a3feb92ae880e,3,1000000,65536,2.61794,169424,4898738f30509da2f14fee436fc21c3382e34c12d831b3de2f193a08af899061,2.66805,2.66805,3.00664,2.42741,2.68218,2.39697
extrema-f32,4,current,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,3,1000000,65536,2.52806,124912,4898738f30509da2f14fee436fc21c3382e34c12d831b3de2f193a08af899061,1.25663,1.29678,1.32359,1.25663,1.24611,1.25231
extrema-f32,4,current,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,4,1000000,65536,3.83992,124668,4898738f30509da2f14fee436fc21c3382e34c12d831b3de2f193a08af899061,1.40455,1.40455,1.25684,1.25873,2.45281,2.29454
extrema-f32,4,baseline,f9ed90d41e7bff92707a796e4677772351a23e53a6e148cf831a3feb92ae880e,4,1000000,65536,2.5715,169256,4898738f30509da2f14fee436fc21c3382e34c12d831b3de2f193a08af899061,2.6503,2.70382,3.06431,2.3438,2.6503,2.41981
extrema-f32,4,baseline,f9ed90d41e7bff92707a796e4677772351a23e53a6e148cf831a3feb92ae880e,5,1000000,65536,4.04356,169736,4898738f30509da2f14fee436fc21c3382e34c12d831b3de2f193a08af899061,2.81038,3.85865,4.81553,2.62366,2.81038,2.61455
extrema-f32,4,current,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,5,1000000,65536,2.54846,124572,4898738f30509da2f14fee436fc21c3382e34c12d831b3de2f193a08af899061,2.27188,1.55926,2.35086,2.29617,2.27188,2.12225
