case,workers,binary,processes,cold_median_ms,cold_min_ms,cold_max_ms,warm_median_ms,warm_min_ms,warm_max_ms,peak_rss_kib
topk-k1024,1,baseline,3,12.300058,10.846972,13.746716,11.284429,10.802132,11.316363,75576
topk-k1024,1,current,3,11.411387,11.049837,12.989153,11.205686,11.064206,11.597321,75568
topk-k1024,2,baseline,3,10.89963,10.865237,11.088383,10.931895,10.919874,11.268303,75588
topk-k1024,2,current,3,6.340218,6.10268,7.639043,5.961478,5.002112,6.09708,75616
topk-k1024,4,baseline,3,10.966465,10.861603,13.783205,11.784867,11.196765,13.754593,75584
topk-k1024,4,current,3,4.277831,3.309514,4.590614,3.068007,2.925685,3.28973,75848
topk-k1024,8,baseline,3,10.892762,10.8871,13.620971,10.957506,10.843468,13.651051,75588
topk-k1024,8,current,3,2.986781,2.515783,3.831533,2.147878,2.135349,2.176372,76028
topk-k1024,16,baseline,3,10.873852,10.857507,11.201275,10.889095,10.841436,11.364596,75564
topk-k1024,16,current,3,2.379032,2.347969,2.390542,1.917026,1.819151,2.595744,76024
topk-k1024,default,baseline,3,10.865945,10.85488,11.075247,10.962551,10.827867,11.238119,76028
topk-k1024,default,current,3,2.429796,2.368251,2.695446,1.795333,1.638305,2.398588,76504
topk-k65536,1,baseline,3,53.531554,53.35107,53.802673,53.544175,53.365793,54.0194,75580
topk-k65536,1,current,3,53.815967,53.58734,53.824275,53.570852,53.549891,53.627212,75528
topk-k65536,2,baseline,3,53.470171,53.36737,53.513807,53.409142,53.391146,53.49992,75552
topk-k65536,2,current,3,49.862001,46.609331,52.77388,39.448359,38.514748,46.753366,137868
topk-k65536,4,baseline,3,53.605443,53.429992,55.701292,53.570112,53.341266,55.724197,75592
topk-k65536,4,current,3,37.417574,33.518196,38.706513,25.533153,21.779494,25.65863,137640
topk-k65536,8,baseline,3,53.523274,53.511723,55.581343,53.396983,53.338453,54.500503,75604
topk-k65536,8,current,3,25.729305,25.46986,29.578336,20.432292,16.486803,23.705901,137184
topk-k65536,16,baseline,3,53.486883,53.45758,53.633105,53.516659,53.336914,53.579611,75792
topk-k65536,16,current,3,19.445869,18.844174,19.45691,18.055834,17.390005,18.334977,137024
topk-k65536,default,baseline,3,53.779995,53.323816,54.264221,53.400857,53.380389,53.521439,76020
topk-k65536,default,current,3,16.618184,16.022741,16.943637,17.512047,15.856185,19.666095,135420
topk-k4000003,1,current,3,785.378454,775.297452,854.277818,772.736533,753.571619,790.445878,168052
topk-k4000003,2,current,3,607.185955,604.851981,635.229334,600.899441,592.557223,601.927905,199696
topk-k4000003,4,current,3,291.998585,286.094661,292.375116,278.550761,273.874177,278.77021,199008
topk-k4000003,8,current,3,164.679004,160.720852,172.817135,159.593952,150.183166,160.599564,198596
topk-k4000003,16,current,3,131.154004,129.682969,135.12972,132.267032,125.633564,135.057423,198600
topk-k4000003,default,current,3,97.46706,96.526381,104.909471,89.194126,88.078586,101.335575,197912
