case,workers,binary,processes,cold_median_ms,cold_min_ms,cold_max_ms,warm_median_ms,warm_min_ms,warm_max_ms,peak_rss_kib
sum-i64,1,baseline,3,1.9172,1.90816,2.13185,1.73701,1.69312,1.82658,71480
sum-i64,1,current,3,1.8382,1.83153,1.99528,1.68742,1.67677,1.71362,71292
sum-i64,8,baseline,3,2.49397,2.49152,2.94683,1.39298,1.12134,1.72383,161464
sum-i64,8,current,3,2.62528,2.34893,2.85765,1.39838,1.38255,1.71561,161980
sum-i64,default,baseline,3,2.97725,2.93811,3.06305,0.733329,0.713338,0.762998,370924
sum-i64,default,current,3,3.2502,2.98288,3.30766,0.724268,0.674241,0.730773,371148
count,1,baseline,3,1.8556,1.85015,1.87158,1.67401,1.65619,1.68246,71300
count,1,current,3,1.87066,1.84748,1.87457,1.66649,1.66344,1.66681,71284
count,8,baseline,3,1.23593,1.21399,1.50363,1.09761,1.08494,1.24993,143400
count,8,current,3,1.27361,1.20776,1.47122,1.14493,1.10638,1.3881,143416
count,default,baseline,3,0.748798,0.741953,0.756636,0.599537,0.581825,0.650663,348652
count,default,current,3,0.732917,0.721196,0.775408,0.573866,0.572316,0.592809,348360
statistics,1,baseline,3,6.10103,6.05098,6.25015,4.8946,4.84671,5.35281,85404
statistics,1,current,3,6.13461,6.13212,6.20899,5.02677,4.66411,5.06692,85476
statistics,8,baseline,3,3.85259,3.48161,3.95084,2.58888,2.03801,2.96305,170024
statistics,8,current,3,3.92909,3.76509,4.37152,2.45131,2.41979,2.56875,170120
statistics,default,baseline,3,4.33439,4.23464,4.67399,1.32619,1.3233,1.39404,375096
statistics,default,current,3,4.1326,4.12224,4.33775,1.31638,1.30423,1.37156,374872
binary,1,baseline,3,15.4814,15.0889,16.5799,15.6362,12.4528,15.6889,116372
binary,1,current,3,15.4497,14.9873,19.157,12.86,12.789,16.5981,116568
binary,8,baseline,3,6.51876,4.60469,7.27592,3.71318,3.2148,4.16533,186888
binary,8,current,3,6.00828,5.24393,6.75521,3.34102,3.31073,3.78333,186752
binary,default,baseline,3,5.6956,5.38717,5.71288,2.43092,2.3585,2.43258,392012
binary,default,current,3,6.0178,5.97952,7.85846,3.03359,2.55737,5.49806,391940
composite,1,baseline,3,15.8327,15.1398,16.4185,11.6953,11.2643,12.3051,137388
composite,1,current,3,15.2347,15.0857,21.8541,11.3547,11.3266,17.7249,137128
composite,8,baseline,3,7.28061,6.37715,7.83999,4.84998,4.28946,4.93538,202660
composite,8,current,3,7.0761,7.03014,7.68335,4.34676,3.69107,4.45247,202880
composite,default,baseline,3,8.48006,7.90511,8.67093,2.25607,1.98612,2.30067,407868
composite,default,current,3,8.30413,7.92899,8.6468,1.99139,1.92586,1.99142,407984
selected,1,baseline,3,3.77469,3.7042,4.02929,3.37948,3.36218,3.62671,71252
selected,1,current,3,3.77824,3.73307,3.93776,3.3907,3.35379,3.49299,71524
selected,8,baseline,3,1.41062,1.37205,1.60384,1.14126,1.13312,1.22663,153428
selected,8,current,3,1.40048,1.39119,1.93655,1.18404,1.08854,1.35526,153428
selected,default,baseline,3,1.35941,1.24316,1.36517,0.901919,0.861955,0.96265,358884
selected,default,current,3,1.37131,1.35175,1.44684,0.903514,0.871609,0.918037,358884
clustered,1,baseline,3,1.78628,1.76608,1.90334,1.59449,1.57996,1.64408,71536
clustered,1,current,3,1.79807,1.79151,1.80955,1.59415,1.59224,1.67785,71452
clustered,8,baseline,3,2.66395,1.98327,2.7436,1.32793,1.0135,1.34301,163800
clustered,8,current,3,2.51941,2.28807,2.58137,1.05501,0.949648,1.09832,163628
clustered,default,baseline,3,2.87836,2.74468,2.88501,0.629884,0.605832,0.68483,368916
clustered,default,current,3,3.012,2.94033,3.33202,0.73048,0.630971,0.954527,369036
symbol-key,1,baseline,3,1.29807,1.26205,1.31118,1.08469,1.04314,1.17314,87848
symbol-key,1,current,3,1.30281,1.28222,1.36459,1.08693,1.04942,1.09749,87660
symbol-key,8,baseline,3,0.370056,0.322495,0.546335,0.232323,0.229067,0.237255,159512
symbol-key,8,current,3,0.334127,0.320804,0.379759,0.207622,0.206635,0.262759,159468
symbol-key,default,baseline,3,0.594801,0.583727,0.598412,0.23216,0.223414,0.246635,365020
symbol-key,default,current,3,0.588633,0.55326,0.600995,0.249214,0.23969,0.26386,365028
