case,workers,binary,sha256,round,rows,groups,cold_ms,peak_rss_kib,result_sha256,warm_median_ms,warm_1_ms,warm_2_ms,warm_3_ms,warm_4_ms,warm_5_ms
sum-i64,1,baseline,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,1,1000000,65536,1.90816,71480,67815070ec5e825828d32b5e6b3a37db6aa89f046b6f7390a537494ae110c572,1.69312,1.71842,1.69312,1.67756,1.67458,1.69458
sum-i64,1,current,ab1f19e100f89164af1ef511fe6390cf3e634114a1fb0c5df9bd039c578e343b,1,1000000,65536,1.8382,71216,67815070ec5e825828d32b5e6b3a37db6aa89f046b6f7390a537494ae110c572,1.68742,1.69406,1.69003,1.68742,1.68618,1.68673
sum-i64,8,baseline,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,1,1000000,65536,2.49397,161200,67815070ec5e825828d32b5e6b3a37db6aa89f046b6f7390a537494ae110c572,1.39298,1.38991,1.39298,1.4247,1.41505,1.38664
sum-i64,8,current,ab1f19e100f89164af1ef511fe6390cf3e634114a1fb0c5df9bd039c578e343b,1,1000000,65536,2.62528,161644,67815070ec5e825828d32b5e6b3a37db6aa89f046b6f7390a537494ae110c572,1.39838,1.4569,1.41024,1.38831,1.36211,1.39838
sum-i64,default,baseline,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,1,1000000,65536,2.97725,370444,67815070ec5e825828d32b5e6b3a37db6aa89f046b6f7390a537494ae110c572,0.762998,1.39351,0.762998,0.797098,0.710806,0.650983
sum-i64,default,current,ab1f19e100f89164af1ef511fe6390cf3e634114a1fb0c5df9bd039c578e343b,1,1000000,65536,3.30766,370936,67815070ec5e825828d32b5e6b3a37db6aa89f046b6f7390a537494ae110c572,0.730773,1.34146,0.784263,0.679031,0.716119,0.730773
count,1,baseline,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,1,1000000,65536,1.85015,71256,67457a1d5b29926989e3244d85a4cf3b2f8a21363195d6a2759f4bbe298cb663,1.67401,1.67294,1.6687,1.67401,1.69201,1.6806
count,1,current,ab1f19e100f89164af1ef511fe6390cf3e634114a1fb0c5df9bd039c578e343b,1,1000000,65536,1.87457,71032,67457a1d5b29926989e3244d85a4cf3b2f8a21363195d6a2759f4bbe298cb663,1.66344,1.6815,1.66241,1.6588,1.66622,1.66344
count,8,baseline,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,1,1000000,65536,1.50363,143400,67457a1d5b29926989e3244d85a4cf3b2f8a21363195d6a2759f4bbe298cb663,1.24993,1.38624,1.23418,1.19813,1.24993,1.29644
count,8,current,ab1f19e100f89164af1ef511fe6390cf3e634114a1fb0c5df9bd039c578e343b,1,1000000,65536,1.20776,142908,67457a1d5b29926989e3244d85a4cf3b2f8a21363195d6a2759f4bbe298cb663,1.10638,1.0887,1.10638,1.13922,1.10464,1.14807
