case,workers,binary,sha256,round,rows,groups,cold_ms,peak_rss_kib,result_sha256,warm_median_ms,warm_1_ms,warm_2_ms,warm_3_ms,warm_4_ms,warm_5_ms
binary,default,baseline,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,1,1000000,65536,5.89175,391120,a07c1dabc08383bc311d6241d6f8f29ca0845609ef637c571d284a88105dca45,2.36238,3.25999,2.44531,2.35428,2.33267,2.36238
binary,default,current,ab1f19e100f89164af1ef511fe6390cf3e634114a1fb0c5df9bd039c578e343b,1,1000000,65536,5.91557,391120,a07c1dabc08383bc311d6241d6f8f29ca0845609ef637c571d284a88105dca45,2.29456,2.99477,2.33756,2.25905,2.29456,2.29169
clustered,default,baseline,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,1,1000000,125000,2.88908,368660,9226fbbc34dc78a0eb0d9731b6075244eb0d8c9daf05af27419f638bf9d95c9c,0.645145,0.783886,0.698182,0.645145,0.598365,0.579393
clustered,default,current,ab1f19e100f89164af1ef511fe6390cf3e634114a1fb0c5df9bd039c578e343b,1,1000000,125000,2.79391,368776,9226fbbc34dc78a0eb0d9731b6075244eb0d8c9daf05af27419f638bf9d95c9c,0.603448,0.70631,0.626912,0.554668,0.603448,0.589904
symbol-key,default,baseline,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,1,1000000,4,0.59698,364636,f4f0cd4a2b69b2ea50a501980d32272f8f90ca85d2e6c4191191f90689bb19db,0.222821,0.378489,0.28276,0.222821,0.206449,0.197566
symbol-key,default,current,ab1f19e100f89164af1ef511fe6390cf3e634114a1fb0c5df9bd039c578e343b,1,1000000,4,0.602685,364260,f4f0cd4a2b69b2ea50a501980d32272f8f90ca85d2e6c4191191f90689bb19db,0.211118,0.309729,0.247595,0.211118,0.202233,0.200629
symbol-key,default,current,ab1f19e100f89164af1ef511fe6390cf3e634114a1fb0c5df9bd039c578e343b,2,1000000,4,0.582663,364528,f4f0cd4a2b69b2ea50a501980d32272f8f90ca85d2e6c4191191f90689bb19db,0.229149,0.300791,0.245124,0.229149,0.197264,0.198919
symbol-key,default,baseline,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,2,1000000,4,0.597973,364932,f4f0cd4a2b69b2ea50a501980d32272f8f90ca85d2e6c4191191f90689bb19db,0.270357,0.379639,0.282162,0.270357,0.255393,0.241143
clustered,default,current,ab1f19e100f89164af1ef511fe6390cf3e634114a1fb0c5df9bd039c578e343b,2,1000000,125000,2.91088,368920,9226fbbc34dc78a0eb0d9731b6075244eb0d8c9daf05af27419f638bf9d95c9c,0.580974,0.785536,0.723045,0.580974,0.562593,0.53865
clustered,default,baseline,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,2,1000000,125000,2.85804,368688,9226fbbc34dc78a0eb0d9731b6075244eb0d8c9daf05af27419f638bf9d95c9c,0.669892,0.789635,0.700387,0.669892,0.567699,0.585841
binary,default,current,ab1f19e100f89164af1ef511fe6390cf3e634114a1fb0c5df9bd039c578e343b,2,1000000,65536,5.45229,391048,a07c1dabc08383bc311d6241d6f8f29ca0845609ef637c571d284a88105dca45,2.31068,2.99883,2.31068,2.30405,2.3275,2.30369
binary,default,baseline,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,2,1000000,65536,5.91447,391360,a07c1dabc08383bc311d6241d6f8f29ca0845609ef637c571d284a88105dca45,2.33232,3.12764,2.33597,2.33232,2.32733,2.27769
binary,default,baseline,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,3,1000000,65536,5.69237,391472,a07c1dabc08383bc311d6241d6f8f29ca0845609ef637c571d284a88105dca45,2.39357,3.17554,2.4016,2.3646,2.35371,2.39357
binary,default,current,ab1f19e100f89164af1ef511fe6390cf3e634114a1fb0c5df9bd039c578e343b,3,1000000,65536,5.11199,391528,a07c1dabc08383bc311d6241d6f8f29ca0845609ef637c571d284a88105dca45,2.36222,3.73585,2.36222,2.53494,2.30777,2.31459
clustered,default,baseline,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,3,1000000,125000,2.91438,368664,9226fbbc34dc78a0eb0d9731b6075244eb0d8c9daf05af27419f638bf9d95c9c,0.619325,0.807253,0.734162,0.619325,0.549856,0.568802
clustered,default,current,ab1f19e100f89164af1ef511fe6390cf3e634114a1fb0c5df9bd039c578e343b,3,1000000,125000,2.86803,368572,9226fbbc34dc78a0eb0d9731b6075244eb0d8c9daf05af27419f638bf9d95c9c,0.610024,0.793735,0.676571,0.596921,0.610024,0.609765
symbol-key,default,baseline,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,3,1000000,4,0.560579,364508,f4f0cd4a2b69b2ea50a501980d32272f8f90ca85d2e6c4191191f90689bb19db,0.237495,0.322844,0.237495,0.228066,0.236653,0.253669
symbol-key,default,current,ab1f19e100f89164af1ef511fe6390cf3e634114a1fb0c5df9bd039c578e343b,3,1000000,4,0.588016,364524,f4f0cd4a2b69b2ea50a501980d32272f8f90ca85d2e6c4191191f90689bb19db,0.257872,0.451,0.29146,0.257872,0.243948,0.230008
symbol-key,default,current,ab1f19e100f89164af1ef511fe6390cf3e634114a1fb0c5df9bd039c578e343b,4,1000000,4,0.586222,364764,f4f0cd4a2b69b2ea50a501980d32272f8f90ca85d2e6c4191191f90689bb19db,0.227315,0.324147,0.251721,0.227315,0.203056,0.200766
symbol-key,default,baseline,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,4,1000000,4,0.568215,364496,f4f0cd4a2b69b2ea50a501980d32272f8f90ca85d2e6c4191191f90689bb19db,0.233798,0.331092,0.246403,0.233798,0.204844,0.205781
clustered,default,current,ab1f19e100f89164af1ef511fe6390cf3e634114a1fb0c5df9bd039c578e343b,4,1000000,125000,2.82288,368652,9226fbbc34dc78a0eb0d9731b6075244eb0d8c9daf05af27419f638bf9d95c9c,0.605434,0.740494,0.676974,0.605434,0.534103,0.584426
clustered,default,baseline,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,4,1000000,125000,2.92315,368932,9226fbbc34dc78a0eb0d9731b6075244eb0d8c9daf05af27419f638bf9d95c9c,0.626003,0.720621,0.626003,0.630622,0.601544,0.567921
binary,default,current,ab1f19e100f89164af1ef511fe6390cf3e634114a1fb0c5df9bd039c578e343b,4,1000000,65536,6.49526,391468,a07c1dabc08383bc311d6241d6f8f29ca0845609ef637c571d284a88105dca45,2.32828,3.05766,2.32828,2.28743,2.24317,2.35525
binary,default,baseline,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,4,1000000,65536,6.13455,391476,a07c1dabc08383bc311d6241d6f8f29ca0845609ef637c571d284a88105dca45,2.28711,3.09966,2.33503,2.24562,2.28711,2.26761
binary,default,baseline,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,5,1000000,65536,5.44895,391496,a07c1dabc08383bc311d6241d6f8f29ca0845609ef637c571d284a88105dca45,2.34941,3.07027,2.33892,2.40147,2.34941,2.32993
binary,default,current,ab1f19e100f89164af1ef511fe6390cf3e634114a1fb0c5df9bd039c578e343b,5,1000000,65536,5.78132,391788,a07c1dabc08383bc311d6241d6f8f29ca0845609ef637c571d284a88105dca45,2.31598,3.06165,2.35428,2.26824,2.31598,2.30934
clustered,default,baseline,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,5,1000000,125000,2.92659,368400,9226fbbc34dc78a0eb0d9731b6075244eb0d8c9daf05af27419f638bf9d95c9c,0.58954,0.888407,0.7107,0.58954,0.583594,0.579485
clustered,default,current,ab1f19e100f89164af1ef511fe6390cf3e634114a1fb0c5df9bd039c578e343b,5,1000000,125000,2.77178,368908,9226fbbc34dc78a0eb0d9731b6075244eb0d8c9daf05af27419f638bf9d95c9c,0.579778,0.712898,0.652861,0.565083,0.541309,0.579778
symbol-key,default,baseline,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,5,1000000,4,0.585992,364756,f4f0cd4a2b69b2ea50a501980d32272f8f90ca85d2e6c4191191f90689bb19db,0.254363,0.343141,0.254363,0.344411,0.216216,0.202344
symbol-key,default,current,ab1f19e100f89164af1ef511fe6390cf3e634114a1fb0c5df9bd039c578e343b,5,1000000,4,0.565357,364736,f4f0cd4a2b69b2ea50a501980d32272f8f90ca85d2e6c4191191f90689bb19db,0.23108,0.322835,0.271226,0.23108,0.202451,0.206937
