input,operation,registry,scalar_result,grouped_result
BOOL,count,yes,i64,I64
BOOL,sum,no,i64,I64
BOOL,avg,no,f64,F64
BOOL,min,no,b8,B8
BOOL,max,no,b8,B8
BOOL,first,no,b8,B8
BOOL,last,no,b8,B8
BOOL,prod,no,i64,I64
BOOL,var,no,f64,F64
BOOL,var_pop,no,f64,F64
BOOL,stddev,no,f64,F64
BOOL,stddev_pop,no,f64,F64
BOOL,all,yes,b8,B8
BOOL,any,yes,b8,B8
BOOL,med,no,f64,ERROR
U8,count,yes,i64,I64
U8,sum,no,i64,I64
U8,avg,no,f64,F64
U8,min,no,u8,U8
U8,max,no,u8,U8
U8,first,no,u8,U8
U8,last,no,u8,U8
U8,prod,no,i64,I64
U8,var,no,f64,F64
U8,var_pop,no,f64,F64
U8,stddev,no,f64,F64
U8,stddev_pop,no,f64,F64
U8,all,yes,b8,B8
U8,any,yes,b8,B8
U8,med,no,f64,F64
I16,count,yes,i64,I64
I16,sum,no,i64,I64
I16,avg,no,f64,F64
I16,min,no,i16,I16
I16,max,no,i16,I16
I16,first,no,i16,I16
I16,last,no,i16,I16
I16,prod,no,i64,I64
I16,var,no,f64,F64
I16,var_pop,no,f64,F64
I16,stddev,no,f64,F64
I16,stddev_pop,no,f64,F64
I16,all,yes,b8,B8
I16,any,yes,b8,B8
I16,med,no,f64,F64
I32,count,yes,i64,I64
I32,sum,no,i64,I64
I32,avg,no,f64,F64
I32,min,no,i32,I32
I32,max,no,i32,I32
I32,first,no,i32,I32
I32,last,no,i32,I32
I32,prod,no,i64,I64
I32,var,no,f64,F64
I32,var_pop,no,f64,F64
I32,stddev,no,f64,F64
I32,stddev_pop,no,f64,F64
I32,all,yes,b8,B8
I32,any,yes,b8,B8
I32,med,no,f64,F64
I64,count,yes,i64,I64
I64,sum,yes,i64,I64
I64,avg,no,f64,F64
I64,min,yes,i64,I64
I64,max,yes,i64,I64
I64,first,no,i64,I64
I64,last,no,i64,I64
I64,prod,no,i64,I64
I64,var,yes,f64,F64
I64,var_pop,yes,f64,F64
I64,stddev,yes,f64,F64
I64,stddev_pop,yes,f64,F64
I64,all,yes,b8,B8
I64,any,yes,b8,B8
I64,med,yes,f64,F64
F32,count,yes,i64,I64
F32,sum,no,f64,F64
F32,avg,no,f64,F64
F32,min,no,f64,F64
F32,max,no,f64,F64
F32,first,no,f64,F64
F32,last,no,f64,F64
F32,prod,no,f64,F64
F32,var,no,f64,F64
F32,var_pop,no,f64,F64
F32,stddev,no,f64,F64
F32,stddev_pop,no,f64,F64
F32,all,no,b8,B8
F32,any,no,b8,B8
F32,med,no,f64,ERROR
F64,count,yes,i64,I64
F64,sum,yes,f64,F64
F64,avg,yes,f64,F64
F64,min,yes,f64,F64
F64,max,yes,f64,F64
F64,first,no,f64,F64
F64,last,no,f64,F64
